state,state_abbr,gender_group,age_group,population
Alabama,AL,Female,<18,536918
Alabama,AL,Female,18+,1979977
Alabama,AL,Female,All,2516895
Alabama,AL,Male,<18,559458
Alabama,AL,Male,18+,1799897
Alabama,AL,Male,All,2359355
Alabama,AL,Both,<18,1096376
Alabama,AL,Both,18+,3779874
Alabama,AL,Both,All,4876250
Alaska,AK,Female,<18,89435
Alaska,AK,Female,18+,262718
Alaska,AK,Female,All,352153
Alaska,AK,Male,<18,94959
Alaska,AK,Male,18+,289956
Alaska,AK,Male,All,384915
Alaska,AK,Both,<18,184394
Alaska,AK,Both,18+,552674
Alaska,AK,Both,All,737068
Arizona,AZ,Female,<18,801163
Arizona,AZ,Female,18+,2744627
Arizona,AZ,Female,All,3545790
Arizona,AZ,Male,<18,834181
Arizona,AZ,Male,18+,2670328
Arizona,AZ,Male,All,3504509
Arizona,AZ,Both,<18,1635344
Arizona,AZ,Both,18+,5414955
Arizona,AZ,Both,All,7050299
Arkansas,AR,Female,<18,344149
Arkansas,AR,Female,18+,1183461
Arkansas,AR,Female,All,1527610
Arkansas,AR,Male,<18,360119
Arkansas,AR,Male,18+,1111641
Arkansas,AR,Male,All,1471760
Arkansas,AR,Both,<18,704268
Arkansas,AR,Both,18+,2295102
Arkansas,AR,Both,All,2999370
California,CA,Female,<18,4411250
California,CA,Female,18+,15345949
California,CA,Female,All,19757199
California,CA,Male,<18,4610896
California,CA,Male,18+,14915402
California,CA,Male,All,19526298
California,CA,Both,<18,9022146
California,CA,Both,18+,30261351
California,CA,Both,All,39283497
Colorado,CO,Female,<18,615975
Colorado,CO,Female,18+,2171173
Colorado,CO,Female,All,2787148
Colorado,CO,Male,<18,645030
Colorado,CO,Male,18+,2178171
Colorado,CO,Male,All,2823201
Colorado,CO,Both,<18,1261005
Colorado,CO,Both,18+,4349344
Colorado,CO,Both,All,5610349
Connecticut,CT,Female,<18,363419
Connecticut,CT,Female,18+,1467410
Connecticut,CT,Female,All,1830829
Connecticut,CT,Male,<18,380414
Connecticut,CT,Male,18+,1363831
Connecticut,CT,Male,All,1744245
Connecticut,CT,Both,<18,743833
Connecticut,CT,Both,18+,2831241
Connecticut,CT,Both,All,3575074
Delaware,DE,Female,<18,100608
Delaware,DE,Female,18+,393750
Delaware,DE,Female,All,494358
Delaware,DE,Male,<18,103076
Delaware,DE,Male,18+,359814
Delaware,DE,Male,All,462890
Delaware,DE,Both,<18,203684
Delaware,DE,Both,18+,753564
Delaware,DE,Both,All,957248
Florida,FL,Female,<18,2045838
Florida,FL,Female,18+,8634985
Florida,FL,Female,All,10680823
Florida,FL,Male,<18,2136624
Florida,FL,Male,18+,8084189
Florida,FL,Male,All,10220813
Florida,FL,Both,<18,4182462
Florida,FL,Both,18+,16719174
Florida,FL,Both,All,20901636
Georgia,GA,Female,<18,1228574
Georgia,GA,Female,18+,4113177
Georgia,GA,Female,All,5341751
Georgia,GA,Male,<18,1276666
Georgia,GA,Male,18+,3785430
Georgia,GA,Male,All,5062096
Georgia,GA,Both,<18,2505240
Georgia,GA,Both,18+,7898607
Georgia,GA,Both,All,10403847
Hawaii,HI,Female,<18,148073
Hawaii,HI,Female,18+,560761
Hawaii,HI,Female,All,708834
Hawaii,HI,Male,<18,156565
Hawaii,HI,Male,18+,556695
Hawaii,HI,Male,All,713260
Hawaii,HI,Both,<18,304638
Hawaii,HI,Both,18+,1117456
Hawaii,HI,Both,All,1422094
Idaho,ID,Female,<18,215455
Idaho,ID,Female,18+,641270
Idaho,ID,Female,All,856725
Idaho,ID,Male,<18,225692
Idaho,ID,Male,18+,635333
Idaho,ID,Male,All,861025
Idaho,ID,Both,<18,441147
Idaho,ID,Both,18+,1276603
Idaho,ID,Both,All,1717750
Illinois,IL,Female,<18,1415640
Illinois,IL,Female,18+,5082819
Illinois,IL,Female,All,6498459
Illinois,IL,Male,<18,1475886
